days,new_sympt
0.0,3
1.0,3
2.0,4
3.0,5
4.0,5
5.0,9
6.0,9
7.0,10
8.0,11
9.0,12
10.0,13
11.0,15
12.0,16
13.0,18
14.0,20
15.0,22
16.0,23
17.0,27
18.0,29
19.0,31
20.0,33
21.0,40
22.0,44
23.0,49
24.0,54
25.0,62
26.0,70
27.0,81
28.0,90
29.0,97
30.0,113
31.0,130
32.0,146
33.0,160
34.0,182
35.0,197
36.0,221
37.0,244
38.0,267
39.0,297
40.0,332
41.0,369
42.0,408
43.0,459
44.0,513
45.0,567
46.0,641
47.0,712
48.0,792
49.0,860
50.0,952
51.0,1038
52.0,1134
53.0,1253
54.0,1351
55.0,1481
56.0,1604
57.0,1725
58.0,1868
59.0,2000
60.0,2144
61.0,2318
62.0,2515
